repository_name,language
.github,
aegisthus,Java
af_tsa,C
aminator,Python
archaius,Java
asgard,Groovy
astyanax,Java
atlas,Scala
atlas-docs,Python
aws-autoscaling,Shell
awsobjectmapper,Groovy
batch_request_api,Ruby
batch_request_client,Ruby
bbparse,C
bettertls,Go
blesk,JavaScript
bless,Python
blitz4j,Java
bpftop,C
brutal,Python
cachemover,C++
CassJMeter,Java
chaosmonkey,Go
Cloud-Prize,
clove,Python
codec_compare,Python
concurrency-limits,Java
conductor,Java
conductor-community,Java
conductor-docs,Python
conductor-ui,JavaScript
consoleme,Python
curator,Java
denominator,Java
derand,Java
dgs,HTML
dgs-codegen,Kotlin
dgs-examples-java,Java
dgs-examples-java-2.7,Java
dgs-examples-java.latest,Java
dgs-examples-java16,Java
dgs-examples-kotlin,Kotlin
dgs-examples-kotlin-2.7,Kotlin
dgs-examples-webflux,Java
dgs-federation-example,Kotlin
dgs-framework,Kotlin
dgs-intellij-plugin,Kotlin
dial-reference,C
dispatch,Python
dispatch-docker,Shell
dyno,Java
dyno-queues,Java
dynomite,C
dynomite-manager,Java
e2nest,Python
eclipse-jifa,Java
eclipse-mat,
edda,Scala
edda-client,Java
element-server,JavaScript
ember-batch-request,JavaScript
ember-nf-graph,JavaScript
ember-nf-graph-examples,JavaScript
eslint-config-netflix,Shell
eslint-plugin-x-element,JavaScript
eureka,Java
eureka-ui,JavaScript
EVCache,Java
fabricator,Java
falcor,JavaScript
falcor-datasource-chainer,JavaScript
falcor-express,JavaScript
falcor-express-demo,HTML
falcor-hapi,JavaScript
falcor-hapi-demo,HTML
falcor-http-datasource,JavaScript
falcor-json-graph,JavaScript
falcor-observable,JavaScript
falcor-path-syntax,JavaScript
falcor-path-utils,JavaScript
falcor-restify,JavaScript
falcor-restify-demo,HTML
falcor-router,JavaScript
falcor-router-demo,JavaScript
fast_jsonapi,Ruby
Fenzo,Java
Fido,C#
flamescope,Python
frigga,Java
genie,Java
glisten,Groovy
go-env,Go
go-expect,Go
go-iomux,Go
governator,Java
gradle-template,Java
hal-9001,Go
hollow,Java
hollow-reference-implementation,Java
hubcommander,Python
Hystrix,Java
iceberg,Java
iceberg-python,Python
iep,Java
iep-shadow,
image_compression_comparison,Python
inviso,JavaScript
karyon,Java
lemur,Python
lemur-docker,Python
libamicontained,Rust
Lipstick,JavaScript
maestro,Java
mantis,Java
mantis-api,Java
mantis-cli,JavaScript
mantis-connectors,Java
mantis-control-plane,Java
mantis-examples,Java
mantis-gradle-plugin,Groovy
mantis-helm,Smarty
mantis-mql,Clojure
mantis-rxcontrol,Java
mantis-rxnetty,
mantis-source-jobs,Java
mantis-ui,TypeScript
matchcut,Jupyter Notebook
metacat,Java
metaflow,Python
metaflow-docs,JavaScript
metaflow-extensions-template,Python
metaflow-nflx-extensions,Python
metaflow-service,Python
metaflow-tools,HCL
metaflow-ui,TypeScript
metrics-client-go,Go
msl,C++
ndbench,HTML
nerror,JavaScript
netflix-commons,Java
netflix-graph,Java
netflix.github.com,HTML
netflixoss-npm-build-infrastructure,
nf-data-explorer,TypeScript
nflx-geofeed,
nflxprofile,Python
NfWebCrypto,C++
Nicobar,Java
ocelli,Java
octodns,
octodns-ns1,Python
octodns-route53,
octodns-ultra,Python
OpenVPCal,Python
osstracker,Scala
p2plab,Go
photon,Java
PigPen,Clojure
pollyjs,JavaScript
polynote,HTML
Prana,Java
Priam,Java
probnik,TypeScript
pygenie,Python
pytheas,JavaScript
q,Java
Raigad,Java
ReactiveLab,Java
reactivesocket-examples,Java
read_bbrlog,C
recipes-rss,Java
rend,Go
rend-http,Go
rend-lmdb,Go
repokid,Python
restful-jsonapi,Ruby
ribbon,Java
runtime-health,Java
rx-aws-java-sdk,Java
s3mper,Java
security-bulletins,
security_monkey,Python
servo,Java
sherlock,R
signal-wrapper,Go
SimianArmy,Java
sleepy-puppy-docker,Dockerfile
spark,Scala
spectator,Java
spectator-cpp,C++
spectator-go,Go
spectator-go-runtime-metrics,Go
spectator-js,TypeScript
spectator-py,Python
spectator-py-runtime-metrics,Python
spectator-rb,Ruby
staash,Java
sureal,Python
suro,Java
Surus,Java
taskintrospection,C
tcplog_dumper,C
techreports,
titus,
titus-api-definitions,Makefile
titus-control-plane,Java
titus-executor,Go
titus-kube-common,Go
tslint-config-netflix,JavaScript
Turbine,Java
unleash,JavaScript
user2020-metaflow-tutorial,R
vector,JavaScript
vectorflow,D
videoannotator,Jupyter Notebook
virtual-kubelet,Go
vizceral,JavaScript
vizceral-component,JavaScript
vizceral-example,JavaScript
vizceral-react,JavaScript
vmaf,Python
vmaf_resource,
vp9-dash,
webpack-parse-query,JavaScript
weep,Go
Workflowable,Ruby
x-element,JavaScript
x-test,JavaScript
yetch,JavaScript
zeno,Java
zuul,Java
